0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,1,4,טבעת סטנדרטית (טבעת יהלום)
1,5,1,1,1,0,1,1,0,0,2,0,0,0,0,1,0,0,0,5,טבעת סטנדרטית (טבעת יהלום)
2,4,1,2,1,0,0,2,0,0,6,1,3,0,0,0,1,0,1,7,טבעת סטנדרטית (טבעת יהלום)
1,5,1,3,1,0,0,1,1,0,10,0,4,0,0,1,1,0,0,4,טבעת סטנדרטית (טבעת יהלום)
1,4,0,2,2,0,1,2,0,0,3,1,2,0,0,1,0,1,1,5,טבעת סטנדרטית (טבעת יהלום)
0,3,1,0,1,1,1,1,0,0,8,0,3,0,0,0,0,0,0,5,טבעת סטנדרטית (טבעת יהלום)
3,10,0,3,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,10,טבעת לא סטנדרטית (אבן ייחודית/ צורה ייחודית)
3,2,0,3,1,0,1,0,0,0,6,0,3,0,0,1,0,0,1,2,טבעת סטנדרטית (טבעת יהלום)
3,2,0,3,1,0,0,3,0,1,4,0,0,0,0,1,1,0,1,5,טבעת סטנדרטית (טבעת יהלום)
4,3,0,0,1,0,2,1,0,0,6,1,1,0,0,1,1,2,1,4,טבעת סטנדרטית (טבעת יהלום)
0,2,0,0,1,1,1,4,0,2,3,1,1,0,0,1,1,1,0,3,טבעת סטנדרטית (טבעת יהלום)
3,6,0,0,1,0,1,1,0,0,3,0,1,0,0,1,1,0,0,3,טבעת סטנדרטית (טבעת יהלום)
2,6,0,3,1,0,0,0,0,2,2,0,2,0,0,1,0,1,1,2,טבעת סטנדרטית (טבעת יהלום)
0,6,1,3,3,0,0,5,0,2,3,0,0,0,0,1,1,0,2,1,טבעת סטנדרטית (טבעת יהלום)
3,5,0,0,1,1,0,5,0,0,6,0,3,0,0,1,1,0,1,3,טבעת סטנדרטית (טבעת יהלום)
3,5,0,4,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,4,טבעת סטנדרטית (טבעת יהלום)
3,10,0,0,1,0,0,2,0,0,4,1,2,1,0,1,1,1,0,10,טבעת לא סטנדרטית (אבן ייחודית/ צורה ייחודית)
2,6,0,4,0,1,0,6,0,0,6,1,0,0,0,0,0,1,0,8,טבעת לא סטנדרטית (אבן ייחודית/ צורה ייחודית)
0,2,0,4,1,0,1,0,0,0,2,0,0,0,0,1,1,1,1,3,טבעת סטנדרטית (טבעת יהלום)
1,8,1,3,0,2,3,6,1,3,3,1,3,0,1,1,1,2,2,6,טבעת סטנדרטית (טבעת יהלום)
3,9,1,0,0,0,0,1,0,1,7,1,0,1,0,1,1,1,0,10,טבעת לא סטנדרטית (אבן ייחודית/ צורה ייחודית)
3,9,1,0,0,0,0,2,0,0,1,1,0,1,0,1,0,1,0,10,טבעת לא סטנדרטית (אבן ייחודית/ צורה ייחודית)
2,9,1,2,1,1,1,0,1,1,10,1,4,0,1,0,1,2,2,4,טבעת סטנדרטית (טבעת יהלום)
5,1,0,0,2,1,2,6,0,0,2,0,0,0,0,0,0,1,0,1,טבעת סטנדרטית (טבעת יהלום)
4,9,0,3,1,0,0,0,0,2,2,0,0,0,0,1,0,1,0,8,טבעת סטנדרטית (טבעת יהלום)
1,7,0,3,0,0,0,0,0,2,5,1,2,0,0,1,1,0,1,7,טבעת סטנדרטית (טבעת יהלום)
0,5,0,1,1,0,1,0,2,0,5,1,0,0,0,1,1,0,1,5,טבעת סטנדרטית (טבעת יהלום)
1,10,1,1,1,1,1,0,0,1,5,0,0,1,0,1,1,0,0,8,טבעת לא סטנדרטית (אבן ייחודית/ צורה ייחודית)
3,7,1,2,1,0,1,0,1,2,3,0,0,0,0,1,1,0,1,6,טבעת סטנדרטית (טבעת יהלום)
5,7,0,4,1,0,0,6,2,0,5,1,1,0,0,1,1,0,0,6,טבעת סטנדרטית (טבעת יהלום)
2,7,1,3,1,0,1,6,1,1,5,0,0,1,1,1,0,1,0,9,טבעת לא סטנדרטית (אבן ייחודית/ צורה ייחודית)
3,8,1,3,1,0,1,6,0,1,0,1,0,0,0,1,1,0,0,5,טבעת סטנדרטית (טבעת יהלום)
2,7,0,0,1,0,3,0,2,0,4,1,0,0,0,0,1,0,0,5,טבעת סטנדרטית (טבעת יהלום)
1,5,0,0,1,0,0,6,2,0,6,1,0,0,0,1,1,1,1,7,טבעת סטנדרטית (טבעת יהלום)
2,7,1,4,1,0,1,6,2,2,6,1,0,0,0,1,0,0,1,5,טבעת סטנדרטית (טבעת יהלום)
2,5,0,0,1,0,1,6,2,0,1,1,0,0,0,0,0,0,0,8,טבעת סטנדרטית (טבעת יהלום)
2,10,1,0,2,2,1,6,2,0,2,0,0,0,0,1,1,0,0,7,טבעת סטנדרטית (טבעת יהלום)
0,10,1,3,2,0,2,0,0,2,6,1,1,0,0,1,1,0,1,6,טבעת סטנדרטית (טבעת יהלום)
